"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","登录接口","登录接口","0","0","1","0","0"
"","sign签名接口","sign签名接口","0","0","3","0","0"
"","用户登录","登录b2c商城接口","0","0","3","0","0"
"","我的订单","订单列表接口","0","0","1","0","0"
"","base64加密接口","base64加密接口","0","0","1","0","0"
"","微信公众号","微信公众号文件上传接口","0","0","1","0","0"
"","phpwind","登录phpwind接口","0","0","1","0","0"
"","phpwind","访问phpwind首页接口","0","0","1","0","0"
"","微信公众号","微信公众号获取access_token接口","0","0","1","0","0"
"","RSA加密接口","RSA加密接口","0","0","1","0","0"
"","MD5加密接口","MD5加密接口","0","0","1","0","0"
"","我的订单-详情","b2c商城订单详情接口用例","0","0","1","0","0"
